station_id,source_year,example_local_path
713190-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71319099999.csv
713240-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71324099999.csv
713250-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71325099999.csv
713260-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71326099999.csv
713270-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71327099999.csv
713280-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71328099999.csv
713290-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71329099999.csv
713410-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71341099999.csv
713440-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71344099999.csv
713460-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71346099999.csv
713520-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71352099999.csv
713640-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71364099999.csv
713680-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71368099999.csv
713700-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71370099999.csv
713710-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71371099999.csv
713760-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71376099999.csv
713770-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71377099999.csv
713780-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71378099999.csv
713810-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71381099999.csv
713820-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71382099999.csv
713840-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71384099999.csv
713850-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71385099999.csv
713870-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71387099999.csv
713880-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71388099999.csv
713890-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71389099999.csv
713900-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71390099999.csv
713920-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71392099999.csv
713930-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71393099999.csv
713950-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71395099999.csv
713970-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71397099999.csv
714090-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71409099999.csv
714110-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71411099999.csv
714240-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71424099999.csv
714250-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71425099999.csv
714260-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71426099999.csv
714270-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71427099999.csv
714280-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71428099999.csv
714290-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71429099999.csv
714330-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71433099999.csv
714350-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71435099999.csv
714360-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71436099999.csv
714370-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71437099999.csv
714380-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71438099999.csv
714400-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71440099999.csv
714420-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71442099999.csv
